Stock Name,Stock Code,Date,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percent,Change Amount,Turnover Rate
贵州茅台,600519,2002-07-10,-158.91,-158.99,-158.89,-159.0,4623,16561215.0,-0.07,-0.05,-0.08,0.65
贵州茅台,600519,2002-07-11,-159.01,-158.95,-158.88,-159.01,2358,8471292.0,-0.08,0.03,0.04,0.33
贵州茅台,600519,2002-07-12,-158.94,-158.93,-158.9,-158.97,1588,5724883.0,-0.04,0.01,0.02,0.22
贵州茅台,600519,2002-07-15,-158.93,-158.95,-158.9,-158.95,1309,4708941.0,-0.03,-0.01,-0.02,0.18
贵州茅台,600519,2002-07-16,-159.0,-158.95,-158.91,-159.0,2316,8339593.0,-0.06,0.0,0.0,0.32
贵州茅台,600519,2002-07-17,-158.94,-158.95,-158.93,-159.0,1342,4803760.0,-0.04,0.0,0.0,0.19
贵州茅台,600519,2002-07-18,-158.92,-158.89,-158.84,-158.93,5894,21394400.0,-0.06,0.04,0.06,0.82
贵州茅台,600519,2002-07-19,-158.86,-158.86,-158.84,-158.88,2517,9151205.0,-0.03,0.02,0.03,0.35
贵州茅台,600519,2002-07-22,-158.8,-158.85,-158.8,-158.87,6104,22267992.0,-0.04,0.01,0.01,0.85
贵州茅台,600519,2002-07-23,-158.85,-158.88,-158.85,-158.93,2902,10500988.0,-0.05,-0.02,-0.03,0.41
贵州茅台,600519,2002-07-24,-158.87,-158.85,-158.84,-158.91,4664,16952456.0,-0.04,0.02,0.03,0.65
贵州茅台,600519,2002-07-25,-158.84,-158.91,-158.8,-158.95,1700,5497155.0,-0.09,-0.04,-0.06,0.22
贵州茅台,600519,2002-07-26,-158.86,-158.95,-158.86,-158.96,1558,5017641.0,-0.06,-0.03,-0.04,0.2
贵州茅台,600519,2002-07-29,-158.93,-159.04,-158.91,-159.07,2557,8122111.0,-0.1,-0.06,-0.09,0.33
贵州茅台,600519,2002-07-30,-159.04,-159.08,-159.03,-159.09,3446,10878707.0,-0.04,-0.03,-0.04,0.44
贵州茅台,600519,2002-07-31,-159.08,-159.12,-159.04,-159.14,2580,8116149.0,-0.06,-0.03,-0.04,0.33
贵州茅台,600519,2002-08-01,-159.13,-159.14,-159.09,-159.16,2001,6261720.0,-0.04,-0.01,-0.02,0.25
贵州茅台,600519,2002-08-02,-159.13,-159.1,-159.02,-159.18,1254,3927364.0,-0.1,0.03,0.04,0.16
贵州茅台,600519,2002-08-05,-159.1,-159.12,-159.08,-159.14,1078,3381000.0,-0.04,-0.01,-0.02,0.14
贵州茅台,600519,2002-08-06,-159.12,-159.1,-159.07,-159.15,2092,6575058.0,-0.05,0.01,0.02,0.27
贵州茅台,600519,2002-08-07,-159.1,-159.1,-159.08,-159.12,1356,4259610.0,-0.03,0.0,0.0,0.17
贵州茅台,600519,2002-08-08,-159.1,-159.13,-159.07,-159.15,1265,3969885.0,-0.05,-0.02,-0.03,0.16
贵州茅台,600519,2002-08-09,-159.15,-159.2,-159.12,-159.21,2490,7741685.0,-0.06,-0.04,-0.07,0.32
贵州茅台,600519,2002-08-12,-159.24,-159.28,-159.22,-159.28,2251,6900600.0,-0.04,-0.05,-0.08,0.29
贵州茅台,600519,2002-08-13,-159.26,-159.28,-159.26,-159.32,1704,5204223.0,-0.04,0.0,0.0,0.22
贵州茅台,600519,2002-08-14,-159.2,-159.2,-159.2,-159.28,2472,7621220.0,-0.05,0.05,0.08,0.31
贵州茅台,600519,2002-08-15,-159.2,-159.25,-159.2,-159.25,1260,3886298.0,-0.03,-0.03,-0.05,0.16
贵州茅台,600519,2002-08-16,-159.3,-159.24,-159.22,-159.35,2241,6857222.0,-0.08,0.01,0.01,0.28
贵州茅台,600519,2002-08-19,-159.24,-159.27,-159.22,-159.28,1109,3407937.0,-0.04,-0.02,-0.03,0.14
贵州茅台,600519,2002-08-20,-159.28,-159.22,-159.2,-159.28,2372,7316845.0,-0.05,0.03,0.05,0.3
贵州茅台,600519,2002-08-21,-159.19,-159.22,-159.19,-159.24,1695,5229829.0,-0.03,0.0,0.0,0.22
贵州茅台,600519,2002-08-22,-159.19,-159.15,-159.11,-159.22,4220,13173485.0,-0.07,0.04,0.07,0.54
贵州茅台,600519,2002-08-23,-159.16,-159.14,-159.12,-159.16,2431,7592485.0,-0.03,0.01,0.01,0.31
贵州茅台,600519,2002-08-26,-159.16,-159.25,-159.16,-159.26,2631,8109133.0,-0.06,-0.07,-0.11,0.33
贵州茅台,600519,2002-08-27,-159.25,-159.23,-159.22,-159.28,2584,7938100.0,-0.04,0.01,0.02,0.33
贵州茅台,600519,2002-08-28,-159.22,-159.29,-159.17,-159.3,3765,11550000.0,-0.08,-0.04,-0.06,0.48
贵州茅台,600519,2002-08-29,-159.29,-159.3,-159.26,-159.31,2899,8846652.0,-0.03,-0.01,-0.01,0.37
贵州茅台,600519,2002-08-30,-159.29,-159.31,-159.29,-159.32,1887,5751168.0,-0.02,-0.01,-0.01,0.24
贵州茅台,600519,2002-09-02,-159.31,-159.32,-159.3,-159.34,2341,7119903.0,-0.03,-0.01,-0.01,0.3
贵州茅台,600519,2002-09-03,-159.32,-159.27,-159.22,-159.32,2277,6981608.0,-0.06,0.03,0.05,0.29
贵州茅台,600519,2002-09-04,-159.27,-159.28,-159.24,-159.32,1789,5457397.0,-0.05,-0.01,-0.01,0.23
贵州茅台,600519,2002-09-05,-159.3,-159.35,-159.3,-159.35,2894,8795149.0,-0.03,-0.04,-0.07,0.37
贵州茅台,600519,2002-09-06,-159.34,-159.34,-159.31,-159.37,1860,5634774.0,-0.04,0.01,0.01,0.24
